,Misspelled Words,Corrected_words
0,thier house was farther away from my plase,their house was farther away from my place
1, I think we would not be allive if our ancestors did not develop siences and tecnologies ., I think we would not be alive if our ancestors did not develop sciences and tecnologies .
2,"Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , becouse you do n't know more than to put air a in car .","Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , because you do n't know more than to put air a in car ."
3,"For example , they can play fotball whenever they want , but the elldrs can not.","For example , they can play football whenever they want , but the elders can not."
4,And young people spend more time on ther lifestyles .,And young people spend more time on the lifestyle .
5,Students can focus on only a few subjects they are intwerested in and they will become experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas .
6,He thinks differently than others and he has succeded .,He thinks differently than others and he has succeeded .
7,These activities make the community a better place to live and include these values in all the members .,These activities make the community a better place to live and include these values in all the members .
8,"all the broad knowledge helps they to understand their major in university classes , as well as help they to make a correct choice in a specialized area .","all the broad knowledge helps they to understand their major in university classes , as well as help they to make a correct choice in a specialized area ."
9,I could very easily understand why he would always brang bad marks home .,I could very easily understand why he would always bring bad marks home .
10,"Then , when we went to the Science Olympiad , she had diverse knowledge about the subects , and it was not new for her to think about new things .","When , when we went to the Science Olympiad , she had diverse knowledge about the subjects , and it was not new for her to think about new things ."
11,"If every person tries to learn and understand lots of scientifc subjects , no person will do it and , as a result of this , no science will be improved .","Of every person tries to learn and understand lots of scientific subjects , no person will do it and , as a result of this , no science will be improved ."
12,they will run out very soon at the current rate of utilisation .,they will run out very soon at the current rate of utilisation .
13,and it will put your maind into non-stop learning .,and it will put your mind into non-stop learning .
14,In today 's world Compuer skills are the first important life skill .,In today 's world Computer skill are the first important life skill .
15,"I have never stopped myself to think this , but this is a real possibility for the fucture .","I have never stopped myself to think this , but this is a real possibility for the future ."
16,"If we conseder an idea as a totally autonomous concept within the individual process of defining reality , I think the ideas are useless , and not based on experience .","Of we consider an idea as a totally autonomous concept within the individual process of defining reality , I think the ideas are useless , and not based on experience ."
17,"If there are specialized docters that have done the operation often , he becomes talented in his job .","Of there are specialized doctors that have done the operation often , he becomes talented in his job ."
18,It will be good situstion .,It will be good situation .
19,the school teachers there are the ones who create the future of the younger genaration so we have to teach them better .,the school teachers there are the ones who create the future of the younger generation so we have to teach them better .
20,some tour guide will want to set maximum security to make the tour difficult because you will only have a wonderful view throught the bus .,some tour guide will want to set maximum security to make the tour difficult because you will only have a wonderful view thought the bus .
21,this will aaffect exams .,this will affect exam .
22,"But on the other hand theere are also people that are often convincced by the interesting advertisements they see everywhere , because of this many times","But on the other hand there are also people that are often convinced by the interesting advertisements they see everywhere , because of this many times"
23,they have to face probloms with the product that they bought and maany times,they have to face problems with the product that they bought and many times
24,there is no waay to give back that proiduct .,there is no way to give back that product .
25,Ever increasing competancy rates force them into frequent buisiness modil changes for a compatible transitional flexibility .,Over increasing competence rates force them into frequent business model changes for a compatible transitional flexibility .
26,"However , this reading passage cassts douts on the speaker 's menition .","However , this reading passage casts doubts on the speaker 's mention ."
27,"For exaample , in the 2 0 0 6 worldz cup form Germany , many coaches on a work .","For example , in the 2 0 0 6 world cup form Germany , many coaches on a work ."
28,"Many Scientissts obtained clear results of investigations after the facts were on the tablae , but before they could even begin to theorise about them .","Any Scientists obtained clear results of investigations after the facts were on the table , but before they could even begin to theorise about them ."
29,They want to make people understend thet their prooduct is the bestz and you can really trust it .,They want to make people understand the their product is the best and you can really trust it .
30,"Video is convenient , but if teachers are concerned about students , using texetbooks is a good ability for students .","Video is convenient , but if teachers are concerned about students , using textbook is a good ability for students ."
31,"In my opinon , it is deppendend on a particular person .","In my opinion , it is dependent on a particular person ."
32,for example when we talk about speed they must anderstand why it is dangerous it is beteer than if they have an accident and learn after that .,for example when we talk about speed they must understand why it is dangerous it is better than if they have an accident and learn after that .
33,Therefore peaple will be able to live with the automobile sosiety and nature for the future .,Therefore people will be able to live with the automobile society and nature for the future .
34,"finally , the third pieze of evidence that birdz use a type of internal compass is that birds have crystals of the minoral magetite embedded in their break .","finally , the third piece of evidence that bird use a type of internal compass is that birds have crystals of the mineral magetite embedded in their break ."
35,The lecture says it is more impordant to provide enough fiosh to the people .,The lecture says it is more important to provide enough fish to the people .
36,"Futhermore , a touor guide will also provide saffety and security for travel ","Furthermore , a tour guide will also provide safety and security for travel "
37,Which cauzsed her siduation to worse .,Which caused her situation to worse .
38,"This arguement is not only true now , it has always been .","His argument is not only true now , it has always been ."
39,"The Laast thing they have to study is dizease , which means they will be save .","The Last thing they have to study is disease , which means they will be save ."
40,There are very succesful polticians that have never tried somthing new.,There are very successful politicians that have never tried something new.
41,Crowsed,Crossed
42,Allieviate,Alleviate
43, enggaged, engaged
44,Ambiition,Ambition
45,Behavior,Behavior
46,benififs,benefits
47,boycot,boycott
48,bencch,bench
49,companys,company
50,commputer,computer
51,maxium,maximum
52,muszle,muscle
53,nieze,niece
54,nicce,nice
55,noticably,noticeably
56,ocassion,occasion
57,occuppied,occupied
58,occurence,occurrence
59,phenominal,phenomena
60,pollice,police
61,pollygamy,polygamy
62,practicaal,practical
63,preceeding,preceding
64,perogative,prerogative
65,proceedures,procedures
66,properally,properly
67,radious,radius
68,receive,receive
69,suport,support
70,repettition,repetition
71,purrsue,pursue
72,reseblence,resemblance
73,sacrileigious,sacrilegious
74,seieze,seize
75,secsion,section
76,somtimes,sometimes
77,supercede,supersede
78,techniquely,technique
79,tommorrow,tomorrow
80,tragegy,tragedy
81,tyrrany,tyranny
82,unconisitional,unconditional
83,unnaturraal,unnatural
84,voluntear,volunteer
85,warr,war
86,writting,writing
87,yeild,yield
88,radious,radius
89,patern,pattern
90,occusionaly,occasionally
91,permition,permission
92,organizz,organize
93,minmuum,minimum
94,maxium,maximum
95,libary,library
96,maddness,madness
97,latext,latest
98,momento,moment
99,imediately,immediately
100,falssh,false
