,English words/sentences,Spanish,French,German
0,High fructose corn syrup is found in about everything you eat these days.,El jarabe de maíz alto en fructosa se encuentra en todo lo que come en estos días.,Le sirop de maïs à forte fructose se trouve dans tout ce que vous mangez ces jours-ci.,"In allem, was Sie heutzutage essen, findet sich in allem, was Sie essen, mit hoher Fructose -Maissirup."
1,"Surprisingly, he swims even on cold days.","Sorprendentemente, nada incluso en días fríos.","Étonnamment, il nage même les jours froids.",Überraschenderweise schwimmt er sogar an kalten Tagen.
2,What if Tom doesn't like me?,¿Y si a Tom no le gusto?,Et si Tom ne m'aime pas?,"Was ist, wenn Tom mich nicht mag?"
3,He doesn't have a job. He's retired.,No tiene trabajo. Está retirado.,Il n'a pas d'emploi. Il est à la retraite.,Er hat keinen Job. Er ist im Ruhestand.
4,This is impossible for me.,Esto es imposible para mí.,C'est impossible pour moi.,Das ist mir unmöglich.
5,I saw that Tom was smiling.,Vi que Tom estaba sonriendo.,J'ai vu que Tom souriait.,"Ich sah, dass Tom lächelte."
6,This article is of no value.,Este artículo no tiene valor.,Cet article n'a aucune valeur.,Dieser Artikel ist von keinem Wert.
7,There's one condition.,Hay una condición.,Il y a une condition.,Es gibt einen Zustand.
8,I have a cat.,Tengo un gato.,J'ai un chat.,Ich habe eine Katze.
9,Does Tom like his job?,¿A Tom le gusta su trabajo?,Est-ce que Tom aime son travail?,Mag Tom seinen Job?
10,I just figured out what the problem is.,Acabo de descubrir cuál es el problema.,J'ai juste compris quel est le problème.,"Ich habe gerade herausgefunden, was das Problem ist."
11,Start writing.,Empieza a escribir.,Commencez à écrire.,Schreiben Sie.
12,She is not what she used to be.,Ella no es lo que solía ser.,Elle n'est pas ce qu'elle était.,"Sie war nicht das, was sie früher war."
13,I think you'll have fun doing that.,Creo que te divertirás haciendo eso.,Je pense que vous vous amuserez à faire ça.,"Ich denke, Sie werden Spaß daran haben."
14,It's about time I was going.,Ya es hora de que fuera.,Il est temps que j'allais.,"Es ist an der Zeit, dass ich gehen würde."
15,I'm truthful.,Soy sincero.,Je suis honnête.,Ich bin ehrlich.
16,I made him cry.,Lo hice llorar.,Je l'ai fait pleurer.,Ich habe ihn zum Weinen gebracht.
17,Tom yawned.,Tom bostezó.,Tom a bâclé.,Tom gähnte.
18,Does it hurt anywhere?,¿Le duele en cualquier lugar?,Cela fait-il mal partout?,Tut es irgendwo weh?
19,Listen carefully to what I am going to tell you.,Escuche atentamente lo que les voy a decir.,Écoutez attentivement ce que je vais vous dire.,"Hören Sie genau zu, was ich Ihnen sagen werde."
20,"Trust me, you don't want to know.","Confía en mí, no quieres saberlo.","Croyez-moi, vous ne voulez pas savoir.","Vertrau mir, du willst es nicht wissen."
21,No money was stolen.,No se robó dinero.,Aucun argent n'a été volé.,Kein Geld wurde gestohlen.
22,When was the last time you had a really good cry?,¿Cuándo fue la última vez que tuvo un muy buen llanto?,À quand remonte la dernière fois que vous avez eu un très bon cri?,Wann hattest du das letzte Mal einen wirklich guten Schrei?
23,I thought you said you worked here.,Pensé que habías dicho que trabajabas aquí.,Je pensais que vous aviez dit que vous aviez travaillé ici.,"Ich dachte du hast gesagt, du hast hier gearbeitet."
24,He hasn't appeared yet.,Todavía no ha aparecido.,Il n'est pas encore apparu.,Er ist noch nicht erschienen.
